timestamp_utc,download_mbps,upload_mbps,ping_ms,server_name,server_country,isp,public_ip,local_hostname,machine,hour_utc,is_outlier_download,is_outlier_upload,is_outlier_ping,is_outlier_any
2026-02-12T01:48:23.446070+00:00,1.248,6.757,10.682,San José,Costa Rica,"Comunicaciones Metropolitanas METROCOM, S.A.",45.65.190.214,lenovo1,Windows-11-10.0.26200-SP0,1,0,0,0,0
2026-02-12T02:04:38.895969+00:00,2.966,1.576,22.270,San José,Costa Rica,"Comunicaciones Metropolitanas METROCOM, S.A.",45.65.190.214,lenovo1,Windows-11-10.0.26200-SP0,2,0,0,1,1
2026-02-12T02:06:48.355614+00:00,3.912,10.655,23.987,San José,Costa Rica,"Comunicaciones Metropolitanas METROCOM, S.A.",45.65.190.214,lenovo1,Windows-11-10.0.26200-SP0,2,0,0,1,1
2026-02-12T02:13:30.265240+00:00,1.994,5.683,515.269,San José,Costa Rica,"Comunicaciones Metropolitanas METROCOM, S.A.",45.65.190.214,lenovo1,Windows-11-10.0.26200-SP0,2,0,0,1,1
2026-02-12T02:19:40.622450+00:00,15.117,28.030,187.183,San José,Costa Rica,"Comunicaciones Metropolitanas METROCOM, S.A.",45.65.190.214,lenovo1,Windows-11-10.0.26200-SP0,2,0,0,1,1
2026-02-12T02:21:51.926606+00:00,27.712,8.910,188.620,San José,Costa Rica,"Comunicaciones Metropolitanas METROCOM, S.A.",45.65.190.214,lenovo1,Windows-11-10.0.26200-SP0,2,0,0,1,1
2026-02-12T02:24:11.664812+00:00,0.884,2.500,20.032,San José,Costa Rica,"Comunicaciones Metropolitanas METROCOM, S.A.",45.65.190.214,lenovo1,Windows-11-10.0.26200-SP0,2,0,0,0,0
2026-02-12T02:24:57.379600+00:00,17.721,15.650,176.624,San José,Costa Rica,"Comunicaciones Metropolitanas METROCOM, S.A.",45.65.190.214,lenovo1,Windows-11-10.0.26200-SP0,2,0,0,1,1
2026-02-12T02:32:28.996477+00:00,1.450,3.889,22.580,San José,Costa Rica,"Comunicaciones Metropolitanas METROCOM, S.A.",45.65.190.214,lenovo1,Windows-11-10.0.26200-SP0,2,0,0,1,1
2026-02-12T02:34:20.086736+00:00,75.174,2.447,183.356,San José,Costa Rica,"Comunicaciones Metropolitanas METROCOM, S.A.",45.65.190.214,lenovo1,Windows-11-10.0.26200-SP0,2,0,0,1,1
